54855,Okoličianska,1530
71762,Ibišteková,2993
72546,Hviezdoslavova,337
42800,Slov. nár. povstania,1846
47849,Komenskeho,569
47101,Malinovského,102
40149,Nemčíkova,3000
56347,Nová,2608
45654,Na Dereši,493
68949,Družstevná ulica,2577
57750,Kozlovo,520
70779,Štiavnická,674
70633,Huta cesta,192
53894,Porubská,2188
40580,Slowackého,92
66118,Fučíkova,1798
39979,Majerníkova,2997
51899,Nový Dvor,1766
68878,Pekárenská,774
56274,Bernolákova,2608
41300,Gemerská,3001
42952,Grobska,2790
48822,Bizetova,3008
66824,Matúšová Chata,2239
58425,B. Tablica,767
57173,Kukorelliho,2642
71188,Hlavná ulica,2793
61885,Vŕbová,2754
39960,M. Curie Sklodowskej,2996
3626265,Sumčia,320
62370,Námestie slobody,1042
50892,Krátka ulica,2554
53700,Sv. Bystríka,320
49770,Hlavná ulica,2757
57509,Starozámocká,388
65600,Školská,2088
44265,Švermova,805
60124,Lazy Slopy,951
59313,Gen. Viesta,2224
53447,Šibeničná,320
52214,Pri parku,1588
69376,Mlynská,1994
55840,Pavla Orsága Hviezdoslava,1594
66769,Jána Brocku,2239
71074,Mýtne námestie,275
45074,Bernolákova,2838
70280,Na vŕšku,1041
44449,Školská,2340
40983,Smolenická,2996
58964,Tulipánová,788
62471,Čsl.armády,1191
66790,Zlatá,2239
68317,ulica Hlavná,454
49602,Sliváše,2750
40773,Uhrova,92
64457,Školská,2316
56446,Záhumnie,1019
71568,Petín,168
67418,Puškinova,2430
71189,Tichá ulica,2793
45052,Školská,2016
70877,Okružná cesta,2597
69327,Podlipie,1193
54058,Zahradná,2477
50636,Mlynská,2523
61946,Vranovská,1203
42357,Sasinkova,1151
60121,Krtíšská cesta,305
42756,Petőfiho,1651
65167,Husárska,2981
69358,Školská,1994
47376,Pod traťou,619
65599,Školská,1741
50372,Podzáhradná,1655
39065,Čiernohorská,3000
71882,Ondrejova,1530
69881,Pri hliníku,1734
59418,Tomašikova,1138
43256,Krátka,700
46656,Bratislavska,755
64940,Ondavská,2978
63319,Sobotské námestie,2087
61788,Dudkovská,2515
64461,Staničná,2316
58702,Jána Bottu,788
70140,Zajačia,2124
53280,Topoľčianska,2352
42172,Dukelská,1151
52661,Hviezdoslavova,1384
45865,Vajanského,531
60985,Hrádza,1841
63153,Komenského,2087
69435,Trieda KVP,3027
42611,Dúhová,2334
47373,Pod salašom,1981
72804,Mlynská,2307
68904,Krížna,774
53531,Dlhá,320
51419,Rákócziho,310
71381,Repíková,197
70287,Nižnianska ulica,2383
60007,Mieru,2756
67777,Kpt.Nálepku,2580
63675,Duchnovičova,2411
65439,Juhoslovanská,3024
44779,Gorkého,897
46688,Janka Kráľa,755
51710,Janov Dvor,1863
72006,Poľná,2365
47678,Budovateľska,569
72545,Pod kalváriou,337
52987,Vinohradnícka,2561
50795,Hlavná,1544
70660,Ulica sv. Alžbety,775
48982,Jílemníckeho,310
71570,Školská,168
70530,Karolská,281
69833,K Diaľnici,2919
49177,Na hlinách,3008
41723,Na Riadkoch,2959
70975,F. K. Veselého,2354
44606,Párovská,1985
40874,Záhradnícka,92
44179,Mlynská ulica,1088
3625968,Pri pieskovom hone,2989
47682,Cesta Vl. Clementisa,2140
58241,Zapriechody,648
71057,Lesnícka,1765
43770,Ulica Ferenca Liszta,775
70661,Zavoda,2452
70156,Záštepy,1062
43825,Malá,111
51745,Kollárova,1863
69328,Ottlykovská,1193
53371,Družstevná,1793
50142,Konopná,1655
44224,Pri Hlinisku,2951
48827,Borová,3008
71423,Poniklecová,897
49733,Úzka ulica,1271
40482,Rovná,3002
39776,Kollárova,259
42287,Mlynská,346
53929,Roľnícka,320
40795,Vŕbová,2992
62358,Košická,1042
65061,Ružova,1042
54666,Družstevná,1420
45649,Urbárska,493
65560,Jána Pavla II.,3027
40900,Za Tehelňou,92
62288,Lúčna,850
3361158,Hutianska cesta,1005
47760,Hrnčiarska ulica,2140
50312,Lehárova ul.,1281
54372,Lúčna,571
61874,Jelšová,2124
72114,Hôrky I,1217
48557,J. Kráľa,425
64392,Sov. Armády,2835
60871,Nový Partizán,2382
40967,Blumentálska,3004
53995,Sovietskej Armády,2429
50823,Ul. J. Černáka,1485
68671,Dušnica,2244
46898,M. Šimonoviča,1762
57099,Cigánska Osada,1584
61573,Pod Kamennou baňou,2124
42319,Partizánska,1151
65252,Františkánska,2981
65218,Zuzkin Park,2978
66599,Za Zahradami,2472
3893187,Ulica A. Behunka,238
56051,Priehradka,2263
62083,Podhradie,2927
64536,Žižkova,2972
53418,Republiky,320
58735,Ulica Jána Petiana-Petényiho,1560
53820,Nová,782
47439,Veľká okružná,1981
48408,Koceľova ulica,2140
71603,Južná,2399
67092,Kúpelska,2418
41175,Motýlia,3001
67516,Tolstého,2430
42600,Bratislavská,2755
63072,Cintorínska,399
65919,Družstevná,121
47920,Márie Krššákovej,861
48487,Lúčna,2321
68332,Okružná,515
3618683,Surfistická,1411
69188,Dedina,1029
42588,Alžbetinská,2558
56559,Darg. Hrdinov,1042
66760,Hornocintorínská,2239
47952,Mlynská,861
40179,Novohradská,92
56779,Nám. Františka Zupku,1863
56059,Rybárpoľská,2263
64893,Moravská,2980
67511,Tatranská,2401
50551,Záhradnícka ul.,1281
50492,Starohorská,771
52769,Kpt.Nálepku,1567
39410,Eisnerova,2988
67159,29.augusta,1379
71129,Bruntálska,259
46503,Kpt.Nálepku,2653
56591,Františka Mazúra,2389
62265,Štepnická,2202
49325,Sirôtková,3008
42636,Gagarinova,2334
52532,Staničná,210
47657,Banícka,480
3626263,Kapria,320
47084,Krátka ulica,1861
44198,Hlavná ulica,2951
40841,Voderadská,1011
54532,J. Gagarina,721
49903,Úzka,725
56295,Gottwaldova,2642
42520,Pri Mlyne,2790
70291,Do Zúbrej,2383
69721,Hrobce,2574
54517,E. Hroboňovej,721
70728,Továrenská ulica,1244
63603,Záhradná,1373
54085,Framborská,320
46856,Športová,523
71492,Priemyselná,1777
61993,Ľudovíta Štúra,395
63666,B. Němcovej,2411
43489,Ulica Veselá,2598
53031,Dr. Pantočku,2573
51069,Revolučná,2534
51586,Dvor Berek,1766
72734,Morušová,2258
60833,Ľ. Fullu,2965
66379,Jána Kostru,1699
70321,Námestie J. Kútnika-Šmálova,2383
52145,Vinohradská,1284
53701,Černovská,320
62061,Mikulovská,395
49753,Strieborná,3008
65432,Hrebendova,3025
68633,Majer,388
47757,Hornoulická,480
65071,Senná,2978
45440,Ulica P. Nurmiho,2016
46733,Nová,1847
50228,Marcelovská cesta,725
39734,Karola Adlera,3000
54575,Pltisko,721
70371,Slepá ulica,2638
72914,Východná,2975
40419,Protifašistických Bojovníko,2981
68746,Kvetná,1065
55769,Slnečná,1765
64769,Košické Kúpele,2980
69979,Ulica Mlyny,2997
40064,Moskovská,3004
55254,O.Plachého,1662
54166,A. Sladkoviča,2541
40970,Kamenné námestie,3004
58175,Námestie mieru,648
51090,Severná ul.,1485
40536,Sekulská,2997
49732,Námestie L.A. Aranya,1271
64904,Senný Trh,2981
48562,Jána Palárika,698
57997,Za Vŕšok,2071
66742,Cintorínska,2239
60996,Kolibská cesta,1841
70141,Skromná,2124
51436,9.mája,2968
53681,Kozmonoutov,320
61915,Na vyhliadke,2124
71505,K potoku,399
66466,Obchodná,2472
61107,Ľudovíta Štúra,1364
68982,Farská,373
68446,Hlavná,360
67007,29. augusta,2239
55128,Čachovský rad,2833
51337,Na Lúkach,935
50904,Levická,2753
51455,Čsd Sihoť,1863
53941,Sedláčkův Sad,320
40056,Mošovského,3004
41747,Pezinská,1646
65131,Tajnovského,2981
70505,Gašparovec,834
61162,Kpt. Jaroša,1579
41091,Pod brehmi,2997
46178,Orechovská,2585
51640,Hlboká,1882
51197,Studený Bok,1485
47639,Železničná,1239
45329,Šteruská cesta,2838
51281,Hlavná,2753
59242,Močiar,1266
67847,Oslobodenia,2479
59646,Družby,2756
43302,Marka Čulena,578
66161,Nová ulica,1210
71645,Na vyhliadke,2493
46377,Pavla Kyrmezera,1781
53152,Hviezdoslavova,2952
59344,Letná,2224
71198,Slnečná,601
40178,Novohorská,2995
50925,Mierová,726
41314,Ambrova,3003
55244,Fučíkova,2495
44164,Na Hrádzi,1088
50412,Rovná,1269
45767,Malé trávniky,2354
63910,Sv. Margity,2023
72738,Višňová,2254
50720,Ul. A. Dvořáka,1485
45457,Školská,2336
59804,Poľana,1226
71031,Pod Lesoparkom,2585
65867,Zámočnícka,2258
55592,Vaňovská,2632
68370,Sándora Petőfiho,1637
3607372,Buková,601
69878,Poľná ulica,1734
55993,Laziny,2263
40817,Veľké Štepnice,2990
68171,Krížna,1818
40504,Rybničná,2990
60468,J. Kalinčiaka,2965
62088,Sázavského,395
56549,Cesta na amfiteáter,390
49626,Piešťanská,3008
40441,Radničné nám.,3001
56435,Pod Kýčerou,2962
64750,Kalinčiakova,2972
48186,Sovietskej Armády,1468
61784,Šnajdrovská,2515
71355,Obecná,1115
68652,Sabinovská,3026
65142,Tichá,2972
58955,Tenisové Ihrisko,1560
40097,Námestie 9.mája,782
68983,Kostolná,373
40465,Rezedová,3001
44222,Obchodná ulica,2951
68039,Cigánska Osada,1629
62217,Pálenica,395
67175,Štúrovo nábrežie,2430
72587,Krátka,1125
54379,Zámocká,571
49206,Olbrachtova,2972
42078,Lesná,2243
68402,Družstevná,123
69321,Valašské,1193
48406,Traťová ulica,2140
62009,Bardejovské Kúpele,395
69215,Trojičné námestie,277
59492,Mládežnícka,213
59615,J. Bodona,2233
69644,Levanduľová,3008
46018,Cintorínská,2585
55306,Jánošovská,2833
58797,Mlýnská,2560
52169,Nánanská cesta,259
42188,Štefánikova,1728
49164,Nádražná,2829
40062,Nábělkova,2997
63726,Pribinova,2411
65427,Gelnická,3026
39141,Černicová,92
69350,Kapušianska,1994
67234,Gaštanová,2430
3976077,E. M. Šoltésovej,2430
65726,Rožňavská,1741
45764,Madvayho,2354
49925,Vnútorná ul.,1281
55203,Dúbravca,1662
49764,Mikova Ves,3008
44530,Spádová,2340
54095,Záhrady,2690
72361,Hyľovská,2258
42887,Hlavná,430
42901,Senecká cesta,430
41437,Pri vodnej veži,2989
39550,Holubyho,3004
68011,Vysoká,2315
40530,Novackého,2997
51221,Turecký rad,1485
54114,Jantárová,320
52746,Jahodová,2561
60623,Obrancov mieru,2965
44045,Kaštieľska ulica,1891
56318,Krakovská cesta,2608
54119,Modrá,320
47032,Brigádnická ulica,1861
45800,Partizánska,2354
49536,Bolečkova,3008
67686,Cintorínska,2580
57229,Kpt.Nálepku,2429
57628,Bučinka,280
49458,Vinohrady,2829
64959,Palkovičova,2980
51695,Jókaiho,259
48222,Víťazstva,1239
70528,Brezová,1646
72071,Javorová alej,601
48389,Teplárenská ulica,2140
69744,Žitavská,2574
4032933,Nábrežie arm.gen.Ludvíka Svobodu,3004
52418,Diakovská,210
56355,Partizánov,2608
41841,Vinohradská,2493
50143,Kostolná,1046
61722,Tesárska,864
60196,Slovenského Národ. Povstani,386
40809,Vančurova,92
68788,Rudolfa Geschwinda,1389
